unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
0,2018-06-19,2018-06-18,0.34502885,0.30635267,0.33937413,0.2403441,0.2572886,0.22759175,0.32286635,0.1956547,0.02025611,0.30154768,0.09626625248750485,-0.3198002801853879
0,2018-06-20,2018-06-18,0.3620119,0.413167,0.39273423,0.2641956,0.3246924,0.30411246,0.32894316,0.24675085,0.12996313,0.39793783,0.06318242806358046,0.06413546004287048
0,2018-06-21,2018-06-18,0.43441775,0.42513937,0.37410605,0.3330933,0.38713825,0.3307424,0.4213125,0.26738283,0.20193559,0.5991211,0.12397225359972137,-0.10877177048545868
0,2018-06-22,2018-06-18,0.3535303,0.3508705,0.36362535,0.24580054,0.349522,0.17670238,0.33166158,0.31655484,0.104342796,0.55460376,-0.08263146476779003,-0.09522510163697934
0,2018-06-23,2018-06-18,-0.029604219,0.030678123,0.110655524,0.124037854,-0.033813693,-0.03968243,-0.04546825,0.031570405,0.097619325,0.021217734,-0.1455315754009302,-0.23634190828470625
0,2018-06-24,2018-06-18,-0.17409283,-0.18455856,-0.19508769,-0.21377024,-0.2230469,-0.2535363,-0.18077347,-0.24727875,0.10007584,-0.16495581,-0.2908689522426557,-0.37432732414333736
0,2018-06-25,2018-06-18,-0.19716749,-0.23117109,-0.28885114,-0.33780336,-0.18794957,-0.18077621,-0.20816064,-0.14946383,0.10051976,-0.17332463,-0.36200598212537377,-0.2471656286209284
0,2018-06-26,2018-06-18,0.3478123,0.31589675,0.29102287,0.22456442,0.24439698,0.22181112,0.34489968,0.22345227,0.100582324,0.3423254,-0.2454637858007677,-0.28024945304485277
0,2018-06-27,2018-06-18,0.3500352,0.37678027,0.37857813,0.2597315,0.30243692,0.31154436,0.32567796,0.2667255,0.100590736,0.4022715,-0.15669566430118453,-0.16928930117037386
0,2018-06-28,2018-06-18,0.4236575,0.40850884,0.41895276,0.29542857,0.37581435,0.3439888,0.436763,0.2832977,0.10059184,0.5976135,-0.1459400176777688,-0.14301284802709238
0,2018-06-29,2018-06-18,0.365421,0.35478035,0.38367814,0.21875544,0.3580375,0.20577279,0.35320243,0.30322212,0.100591965,0.5657418,-0.14437432228322092,-0.1298746214554516
0,2018-06-30,2018-06-18,-0.040304594,-0.0041980147,0.07196739,0.09586039,-0.014528982,-0.02899142,-0.05101969,0.028966561,0.10059193,0.03275667,-0.17521171418453316,-0.205028000393749
0,2018-07-01,2018-06-18,-0.18283033,-0.19821833,-0.1316744,-0.19251736,-0.24022007,-0.25414023,-0.18792024,-0.24130803,0.10059192,-0.156985,-0.2525434519326363,-0.4089768439618096
0,2018-07-02,2018-06-18,-0.21392092,-0.23244746,-0.26109833,-0.33991972,-0.21204805,-0.19428453,-0.20683384,-0.13570318,0.10059192,-0.17648776,-0.5266082196913187,-0.24464690124709051
1,2018-06-19,2018-06-18,-0.054788813,-0.021308832,0.023687128,0.012950114,-0.028843716,-0.0001591593,-0.06201389,-0.02069606,-0.078384995,-0.07736163,-0.018652265241135783,-0.3408676938865139
