unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive
0,2018-06-19,2018-06-18,0.27478242,0.26101074,0.32077506,0.36988154,0.31525454,0.3004844,0.34044388,0.2188752,0.30184382,0.30448252,0.09626625248750485,-0.3198002801853879
0,2018-06-20,2018-06-18,0.32026052,0.328407,0.321444,0.3356194,0.38281116,0.3011068,0.3597077,0.29680634,0.41661692,0.31714985,0.06318242806358046,0.06413546004287048
0,2018-06-21,2018-06-18,0.33568436,0.33592236,0.4114894,0.44757983,0.3453948,0.3770453,0.43835947,0.31726176,0.42741477,0.3698092,0.12397225359972137,-0.10877177048545868
0,2018-06-22,2018-06-18,0.3228407,0.32725435,0.35001054,0.37157178,0.31487104,0.30472878,0.34769344,0.19444484,0.36286354,0.34356213,-0.08263146476779003,-0.09522510163697934
0,2018-06-23,2018-06-18,0.2656926,-0.037180617,-0.0372774,0.010255992,-0.07423924,0.073604465,-0.033616655,-0.06475678,0.010297686,0.007564299,-0.1455315754009302,-0.23634190828470625
0,2018-06-24,2018-06-18,-0.122236356,-0.21304096,-0.1697287,-0.17094576,-0.24090624,-0.25857466,-0.17570326,-0.27905026,-0.17986669,-0.20270714,-0.2908689522426557,-0.37432732414333736
0,2018-06-25,2018-06-18,-0.2682457,-0.21040146,-0.18824598,-0.2102966,-0.26008752,-0.14501688,-0.19406655,-0.19110405,-0.2283359,-0.20527086,-0.36200598212537377,-0.2471656286209284
0,2018-06-26,2018-06-18,0.21667604,0.25221258,0.34101346,0.36214548,0.23768237,0.28017333,0.34992266,0.21703365,0.31246993,0.28986824,-0.2454637858007677,-0.28024945304485277
0,2018-06-27,2018-06-18,0.31205356,0.3271668,0.3231295,0.33087057,0.3614365,0.28396484,0.35054064,0.3111382,0.3949806,0.32033724,-0.15669566430118453,-0.16928930117037386
0,2018-06-28,2018-06-18,0.3252657,0.35259098,0.43097767,0.42485318,0.35417086,0.3841245,0.42659962,0.34587365,0.41817218,0.39493492,-0.1459400176777688,-0.14301284802709238
0,2018-06-29,2018-06-18,0.32273626,0.29394925,0.34163415,0.3778823,0.2918489,0.32528317,0.36743572,0.22385734,0.35636523,0.3523719,-0.14437432228322092,-0.1298746214554516
0,2018-06-30,2018-06-18,0.259713,-0.038615555,-0.045218147,-0.010247663,-0.12232022,0.0804598,-0.04185327,-0.051852167,0.004133731,0.00010120869,-0.17521171418453316,-0.205028000393749
